id_user,id_conteudo,data,horas_consumidas
150,10406,7/7/2019,"0,27"
139,10352,24/11/2019,"0,59"
182,10206,26/7/2019,"0,82"
199,10835,10/11/2019,"0,24"
185,10406,19/11/2019,"0,98"
144,10777,9/11/2019,"0,53"
136,10206,18/7/2019,"0,07"
150,10835,9/7/2019,"0,61"
199,10406,24/7/2019,"0,70"
182,10352,8/8/2019,"0,61"
199,10777,17/9/2019,"0,42"
185,10835,21/7/2019,"0,51"
144,10406,3/7/2019,"0,16"
136,10352,9/10/2019,"0,16"
199,10777,19/8/2019,"0,82"
185,10835,7/11/2019,"0,45"
144,10406,20/10/2019,"0,38"
182,10352,27/11/2019,"0,94"
150,10206,30/7/2019,"0,13"
144,10835,15/8/2019,"0,80"
144,10406,4/10/2019,"0,20"
136,10352,2/11/2019,"0,64"
199,10352,26/9/2019,"0,54"
185,10352,13/11/2019,"0,27"
144,10352,20/11/2019,"0,92"
